,id,title,title_original,genres,director,keywords,cast
17,7988,Regreso al futuro,Back to the Future,"['Aventura', 'Comedia', 'Ciencia ficción', 'Familia']",['Robert Zemeckis'],"['clock tower', 'car race', 'terrorist', 'delorean', 'lightning', 'guitar', 'plutonium', 'sports car', 'inventor', 'journey in the past', 'invention', 'time travel', 'race against time', 'partner', 'misfit', 'mad scientist', 'fish out of water', 'teenage love', 'destiny', 'hidden identity', 'odd couple', 'escapade', 'disorder', 'chases and races', 'love and romance', 'teenage life', 'misfit partners', 'changing the past or future', 'getting home']","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover', 'Thomas F. Wilson']"
18,7989,Regreso al futuro II,Back to the Future Part II,"['Aventura', 'Comedia', 'Familia', 'Ciencia ficción']",['Robert Zemeckis'],"['skateboarding', 'flying car', 'car race', 'delorean', 'lightning', 'almanac', 'inventor', 'time travel', 'sequel', 'diner', 'alternate history', 'teenager', 'electric guitar', 'walking cane', 'high school dance', 'hoverboard', 'video phone']","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Elisabeth Shue', 'James Tolkan']"
19,8025,Dos policías rebeldes II,Bad Boys II,"['Aventura', 'Acción', 'Comedia', 'Suspense', 'Crimen']",['Michael Bay'],"['miami', 'ku klux klan', 'cuba', 'undercover', 'mexican standoff', 'ecstasy', 'gangster', 'guantánamo', 'slaughter', 'shootout', 'gunfight', 'bromance', 'violence', 'foot chase', 'interrogation', 'car chase', 'drug lord', 'exploding house', 'narcotics cop', 'illegal drugs', 'dea agent', 'buddy cop', 'criminal underworld', 'action hero', 'haitian gang', 'minefield']","['Martin Lawrence', 'Will Smith', 'Jordi Mollà', 'Gabrielle Union', 'Peter Stormare']"
20,8905,Bending All The Rules,Bending All The Rules,"['Comedia', 'Romance']","['Morgan Klein', 'Peter Knight']",[],"['Bradley Cooper', 'Colleen Porch', 'David Gail', 'Shauna Vatovec', 'James Martin Kelly']"
21,9245,Big Fish,Big Fish,"['Aventura', 'Fantasía', 'Drama']",['Tim Burton'],"['circus', 'witch', 'parent child relationship', 'fish', 'fishing', ""love of one's life"", 'leech', 'story teller', 'apoplectic stroke', 'fair', 'mermaid', 'cancer', 'relationship', 'youth', 'gentle giant']","['Ewan McGregor', 'Albert Finney', 'Billy Crudup', 'Jessica Lange', 'Helena Bonham Carter']"
22,10336,Brave (Indomable),Brave,"['Animación', 'Aventura', 'Comedia', 'Familia', 'Acción', 'Fantasía']","['Mark Andrews', 'Brenda Chapman']","['scotland', 'rebel', 'bravery', 'kingdom', 'archer', 'wish', 'animation', 'bear', 'scot', 'rebellious daughter', 'turns into animal', 'archery', 'ruins', 'aftercreditsstinger', 'peace offering', 'woman director', 'courage', 'quest', 'disney']","['Kelly Macdonald', 'Billy Connolly', 'Emma Thompson', 'Julie Walters', 'Robbie Coltrane']"
23,10361,Breakaway,Breakaway,['Comedia'],['Rob Lieberman'],[],"['Vinay Virmani', 'Russell Peters', 'Camilla Belle', 'Anupam Kher', 'Rob Lowe']"
24,10429,Bridesmaids,Bridesmaids,[],[],[],[]
25,10528,Broken City,Broken City,[],[],[],[]
26,10587,Bruce Almighty,Bruce Almighty,[],[],[],[]
27,11428,Captain America: The First Avenger,Captain America: The First Avenger,[],[],[],[]
28,11571,Carnage,Carnage,[],[],[],[]
29,11847,Catch Hell,Catch Hell,[],[],[],[]
30,12664,Choke,Choke,[],[],[],[]
31,13279,Cloudy with a Chance of Meatballs,Cloudy with a Chance of Meatballs,[],[],[],[]
32,14839,Cube,Cube,[],[],[],[]
33,16693,Diana,Diana,[],[],[],[]
