,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
578,578,45246,El imperio del fuego,Reign of Fire,"['Aventura', 'Acción', 'Fantasía']",['Rob Bowman'],"['castle', 'dragon', 'evolution', 'fire chief', 'animated map', 'theatre audience', 'dragonslayer', 'tunnel construction', 'fire repellent', 'drilling', 'iodine', 'northumberland']","['Christian Bale', 'Matthew McConaughey', 'Izabella Scorupco', 'Gerard Butler', 'Alexander Siddig']",34
580,580,45308,Recordando al artista Robert de Niro Sr.,"Remembering the Artist: Robert De Niro, Sr.",['Documental'],"['Geeta Gandbhir', 'Perri Peltz']",['woman director'],"['Robert De Niro', 'Robert De Niro Sr.', 'Drena De Niro']",14
584,584,45805,RKO 281. La batalla por Ciudadano Kane,RKO 281,"['Historia', 'Drama']",[],[],[],21
616,616,47689,Sexo en Nueva York: La película,Sex and the City,"['Comedia', 'Drama', 'Romance']",['Michael Patrick King'],"['city portrait', 'hotel', ""new year's eve"", 'forgiveness', 'fashion journal', 'saint louis', 'fashion designer', 'malibu', 'loss of libido', 'botox', 'couples therapy', 'best friend', 'fashion', 'child wish']","['Sarah Jessica Parker', 'Kim Cattrall', 'Cynthia Nixon', 'Kristin Davis', 'Chris Noth']",31
617,617,47690,Sexo en Nueva York 2,Sex and the City 2,"['Comedia', 'Drama', 'Romance']",['Michael Patrick King'],"['vacation', 'travel', 'manhattan, new york city']","['Sarah Jessica Parker', 'Kristin Davis', 'Cynthia Nixon', 'Kim Cattrall', 'Chris Noth']",31
625,625,48142,Shame,Shame,['Drama'],['Steve McQueen'],"['sibling relationship', 'pornography', 'prostitute', 'suicide attempt', 'sex addiction', 'webcam', 'borderline personality disorder', 'jogging', 'new york city', 'thirty something', 'internet porn', 'sex addict', 'self-loathing']","['Michael Fassbender', 'Carey Mulligan', 'James Badge Dale', 'Nicole Beharie', 'Alex Manette']",9
627,627,48376,Shouting Fire: Stories from the Edge of Free Speech,Shouting Fire: Stories from the Edge of Free Speech,['Documental'],['Liz Garbus'],['woman director'],[],14
659,659,51020,El regreso de un soldado,Taking Chance,"['Drama', 'Historia', 'Bélica']",['Ross Katz'],"['war crimes', 'warlord', 'war victim', 'military']","['Kevin Bacon', 'Tom Aldredge', 'Nicholas Art', 'Blanche Baker', 'Guy Boyd']",31
660,660,51092,Enredados,Tangled,"['Animación', 'Familia']","['Nathan Greno', 'Byron Howard']","['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'blonde', 'princess', 'animation', 'tower', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick', 'rapunzel']","['Mandy Moore', 'Zachary Levi', 'Donna Murphy', 'Delaney Rose Stein', 'Brad Garrett']",24
662,662,51441,Temple Grandin,Temple Grandin,['Drama'],['Mick Jackson'],"['autism', 'boston', 'veterinarian', 'biography', 'new hampshire', 'slaughterhouse', 'university', 'livestock']","['Claire Danes', ""Catherine O'Hara"", 'Julia Ormond', 'David Strathairn', 'Melissa Farman']",9
664,664,51699,La matanza de Texas 3D,Texas Chainsaw 3D,"['Terror', 'Suspense']",['John Luessenhop'],"['sequel', 'gore', 'leatherface', 'slasher', 'chainsaw', 'aftercreditsstinger', 'duringcreditsstinger']","['Alexandra Daddario', 'Dan Yeager', 'Bill Moseley', 'Marilyn Burns', 'Tania Raymonde']",22
698,698,53056,The Education of Dee Dee Ricks,The Education of Dee Dee Ricks,['Documental'],['Perri Peltz'],['woman director'],[],14
