,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
1846,1846,26792,Redención,Hummingbird,"['Acción', 'Suspense']",['Steven Knight'],"['homeless person', 'chinese mafia', 'redemption']","['Jason Statham', 'Agata Buzek', 'Vicky McClure', 'Lee Asquith-Coe', 'Michelle Lee']",22
1848,1848,26884,I Am,I Am,"['Documental', 'Drama']",['John Ward'],[],"['Tomas Boykin', 'Jay Hindle', 'John Ward', 'Todd Zeile', 'Stefan Hajek']",23
1849,1849,27024,Escupiré sobre tu tumba (Dulce venganza),I Spit on Your Grave,"['Suspense', 'Crimen', 'Terror']",[],[],[],32
1882,1882,28523,Una chica de Jersey,Jersey Girl,"['Comedia', 'Romance']",['Kevin Smith'],"['loss of loved one', 'yuppie', 'daughter']","['Ben Affleck', 'Raquel Castro', 'Liv Tyler', 'Jennifer Lopez', 'George Carlin']",22
1883,1883,28607,Una novia muy especial,Jewtopia,"['Comedia', 'Romance']",['Bryan Fogel'],"['jewish', 'dating']","['Ivan Sergei', 'Jennifer Love Hewitt', 'Joel David Moore', 'Jamie-Lynn Sigler', 'Peter Stormare']",22
1885,1885,28650,Jim: The James Foley Story,Jim: The James Foley Story,['Documental'],[],[],[],14
1919,1919,32101,El último tren de Gun Hill,Last Train from Gun Hill,"['Acción', 'Drama', 'Western']",['John Sturges'],"['marshal', 'old friends']","['Kirk Douglas', 'Anthony Quinn', 'Earl Holliman', 'Carolyn Jones', 'Brad Dexter']",30
1920,1920,32102,Plan en Las Vegas,Last Vegas,['Comedia'],['Jon Turteltaub'],"['casino', 'male friendship', 'stag night', 'las vegas', 'elderly']","['Robert De Niro', 'Morgan Freeman', 'Michael Douglas', 'Kevin Kline', 'Mary Steenburgen']",11
1921,1921,32419,Tenías que ser tú,Leap Year,"['Romance', 'Comedia']",['Anand Tucker'],"['taxi', 'bar', 'wales', 'marriage proposal', 'airplane', 'pub', 'cow', 'wedding ring', 'wedding', 'proposal', 'cardiologist', 'ireland', 'cliffs']","['Amy Adams', 'Matthew Goode', 'Adam Scott', 'John Lithgow', 'Flaminia Cinque']",22
1922,1922,32498,Gnome Alone,Gnome Alone,['Terror'],"['Timothy Woodward Jr.', 'John Michael Elfers']",[],"['Verne Troyer', 'Kerry Knuppe', 'Bill Oberst Jr.', 'Marlon Young', 'Ross Bagley']",10
1923,1923,32499,Legend,Legend,"['Aventura', 'Fantasía']",['Ridley Scott'],['gump'],"['Tom Cruise', 'Mia Sara', 'Tim Curry', 'David Bennent', 'Alice Playten']",24
1925,1925,32675,Espías en la sombra,Les Femmes de l'ombre,"['Acción', 'Suspense', 'Bélica', 'Historia']",[],"['london england', 'loss of loved one', 'resistance', 'world war ii', 'normandy', 'd-day', 'commando']",[],44
1961,1961,36595,Mía,Mía,"['Drama', 'Comedia']",['Javier van de Couter'],[],"['Rodrigo de la Serna', 'Maite Lanata', 'Camila Sosa Villada']",20
1997,1997,39071,Tren de noche a Lisboa,Night Train to Lisbon,"['Misterio', 'Romance', 'Suspense']",['Bille August'],"['train station', 'loneliness']","['Jeremy Irons', 'Mélanie Laurent', 'Jack Huston', 'Martina Gedeck', 'Tom Courtenay']",35
1998,1998,39085,Halcones de la noche,Nighthawks,"['Acción', 'Crimen', 'Suspense']",['Bruce Malmuth'],[],"['Sylvester Stallone', 'Rutger Hauer', 'Billy Dee Williams', 'Lindsay Wagner', 'Persis Khambatta']",32
1999,1999,39112,"Nico, el reno que quería volar",Niko: Lentäjän poika,"['Animación', 'Familia', 'Aventura', 'Drama', 'Fantasía']",[],[],[],57
2034,2034,43036,Piratas del Caribe. La maldición de la Perla Negra,Pirates of the Caribbean: The Curse of the Black Pearl,"['Aventura', 'Fantasía', 'Acción']",['Gore Verbinski'],"['exotic island', 'blacksmith', 'east india trading company', 'gold', 'marriage proposal', 'mutiny', 'jamaica', 'skeleton', 'daughter', 'governor', 'wooden eye', 'gold coin', 'pirate', 'alcoholic', 'swashbuckler', 'caribbean', 'aftercreditsstinger', 'pirate ship', 'capuchin monkey', 'tortuga', 'based on young adult novel']","['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley', 'Jack Davenport']",34
2035,2035,43117,Plague,Plague,"['Drama', 'Terror']","['Kostas Ouzas', 'Nick Kozakis']","['australian', 'rural setting', 'gender roles', 'zombie apocalypse']","['Tegan Crowley', 'Scott Marcus', 'Steven Kennedy', 'Don Bridges', 'Nick Stribakos']",19
2036,2036,43140,Planet 51,Planet 51,"['Ciencia ficción', 'Familia', 'Comedia', 'Aventura', 'Animación']","['Jorge Blanco', 'Javier Abad', 'Marcos Martínez']","['flying saucer', 'alien life-form', 'spaceship', 'alien', 'alien planet', 'planet', 'duringcreditsstinger']","['Dwayne Johnson', 'Seann William Scott', 'Jessica Biel', 'Justin Long', 'Gary Oldman']",66
2074,2074,46655,Samba,Samba,"['Drama', 'Comedia']",[],[],[],20
2107,2107,48523,7 minutos,7 minutos,['Comedia'],['Daniela Féjerman'],['woman director'],"['Toni Acosta', 'Pilar Castro', 'Luis Callejo', 'Antonio Garrido', 'Asier Etxeandia']",11
2143,2143,51516,Tercera Llamada,Tercera Llamada,"['Comedia', 'Drama']",['Francisco Franco'],"['theatre play', 'theater director', 'backstage', 'theatrical producer']","['Irene Azuela', 'Ricardo Blume', 'Anabel Ferreira', 'Karina Gidi', 'Rebecca Jones']",20
2144,2144,51590,Tesis sobre un homicidio,Tesis sobre un homicidio,"['Misterio', 'Suspense', 'Crimen']",['Hernán Goldfrid'],['suspense'],"['Ricardo Darín', 'Alberto Ammann', 'Calu Rivero', 'Arturo Puig']",34
2145,2145,51780,Virgen a los 40,The 40 Year Old Virgin,"['Comedia', 'Romance']",['Judd Apatow'],"['first time', 'virgin', 'poker game', 'sex comedy']","['Steve Carell', 'Catherine Keener', 'Paul Rudd', 'Romany Malco', 'Seth Rogen']",22
2146,2146,51866,El tormento y el éxtasis,The Agony and the Ecstasy,['Drama'],['Carol Reed'],"['pope', 'michelangelo', '16th century', 'italian renaissance']","['Charlton Heston', 'Rex Harrison', 'Diane Cilento', 'Harry Andrews', 'Alberto Lupo']",9
2147,2147,51873,The Alibi: La coartada,The Alibi,"['Romance', 'Comedia', 'Drama']","['Matt Checkowski', 'Kurt Mattila']","['alibi', 'con man', 'suspect', 'murder', 'business', 'mormon', 'unfaithful']","['Steve Coogan', 'Rebecca Romijn', 'Selma Blair', 'James Brolin', 'Sam Elliott']",31
2181,2181,53133,Los mercenarios,The Expendables,"['Suspense', 'Aventura', 'Acción']",['Sylvester Stallone'],"['tattoo', 'martial arts', 'sniper', 'island', 'mercenary', 'bridge', 'rescue', 'escape', 'church', 'drugs', 'blade', 'ensemble cast', 'duringcreditsstinger']","['Sylvester Stallone', 'Jason Statham', 'Dolph Lundgren', 'Bruce Willis', 'Eric Roberts']",34
2183,2183,53134,Los mercenarios 2,The Expendables 2,"['Acción', 'Aventura', 'Suspense']",['Simon West'],"['loss of loved one', 'airplane', 'airplane crash', 'violence', 'beard', 'ensemble cast', 'wisecrack humor', 'airport lounge', 'asian woman']","['Sylvester Stallone', 'Arnold Schwarzenegger', 'Jean-Claude Van Damme', 'Bruce Willis', 'Jet Li']",34
2184,2184,53170,Malavita,The Family,"['Crimen', 'Comedia', 'Acción']",['Luc Besson'],"['france', 'witness protection', 'mafia', 'mafia family']","['Robert De Niro', 'Michelle Pfeiffer', 'Dianna Agron', ""John D'Leo"", 'Tommy Lee Jones']",31
2186,2186,53188,A todo gas,The Fast and the Furious,"['Acción', 'Crimen', 'Suspense']",['Rob Cohen'],"['street gang', 'car race', 'undercover', 'auto-tuning', 'los angeles', 'car', 'automobile racing', 'aftercreditsstinger', 'duringcreditsstinger']","['Paul Walker', 'Vin Diesel', 'Michelle Rodriguez', 'Jordana Brewster', 'Rick Yune']",32
2219,2219,54370,El clan de los rompehuesos,The Longest Yard,"['Comedia', 'Drama']",['Peter Segal'],"['prison', 'american football', 'prisoner', 'blackmail', 'supervisor', 'sport']","['Adam Sandler', 'Chris Rock', 'Burt Reynolds', 'Michael Irvin', 'Nelly']",20
2220,2220,54411,El mundo perdido (Jurassic Park),The Lost World: Jurassic Park,"['Aventura', 'Acción', 'Ciencia ficción']",['Steven Spielberg'],"['exotic island', 'dna', 'paleontology', 'tyrannosaurus rex', 'velociraptor', 'san diego', 'dinosaur', 'jurassic park', 'animal horror']","['Jeff Goldblum', 'Julianne Moore', 'Pete Postlethwaite', 'Richard Attenborough', 'Vince Vaughn']",41
2221,2221,54487,Los reyes del mambo tocan canciones de amor,The Mambo Kings,"['Drama', 'Música']",['Arne Glimcher'],['mambo'],"['Antonio Banderas', 'Armand Assante', 'Cathy Moriarty', 'Maruschka Detmers', 'Pablo Calogero']",19
2222,2222,54516,El hombre que no sabía nada,The Man Who Knew Too Little,"['Comedia', 'Suspense', 'Crimen', 'Acción']",['Jon Amiel'],"['london england', 'bomb', 'sibling relationship', 'helicopter', 'based on novel or book', 'bank', 'theatre milieu', 'mistaken identity', 'escape', 'agent']","['Bill Murray', 'Peter Gallagher', 'Joanne Whalley', 'Alfred Molina', 'Richard Wilson']",43
2223,2223,54536,El hombre sin rostro,The Man without a Face,['Drama'],['Mel Gibson'],"['secret', 'suspicion', 'face transplant', 'friendship', 'boarding school', 'love', 'teacher', 'accident']","['Mel Gibson', 'Nick Stahl', 'Margaret Whitton', 'Fay Masterson', 'Gaby Hoffmann']",9
2224,2224,54722,La momia,The Mummy,"['Aventura', 'Acción', 'Fantasía']",['Stephen Sommers'],"['library', 'secret passage', 'cairo', 'egypt', 'pastor', 'pyramid', 'sandstorm', 'solar eclipse', 'mummy', 'foreign legion', 'nile', 'secret society', 'treasure hunt', 'remake', 'tomb', 'ancient egypt', 'opposites attract', '1920s']","['Brendan Fraser', 'Rachel Weisz', 'John Hannah', 'Oded Fehr', 'Arnold Vosloo']",34
2225,2225,54784,Negociador,The Negotiator,"['Acción', 'Aventura', 'Crimen', 'Drama', 'Misterio', 'Suspense']",['F. Gary Gray'],"['corruption', 'hostage', 'pension', 'innocence', 'police', 'hostage-taking', 'murder', 'suspense', 'conspiracy', 'bullet wound', 'negotiator']","['Samuel L. Jackson', 'Kevin Spacey', 'David Morse', 'Ron Rifkin', 'John Spencer']",65
2259,2259,56853,Tiger House,Tiger House,"['Acción', 'Crimen', 'Drama', 'Suspense']",['Tom Daley'],"['robbery', 'fire', 'murder', 'teenage girl', 'blood', 'pregnancy', 'home invasion', 'hiding', 'death', 'crossbow']","['Kaya Scodelario', 'Ed Skrein', 'Dougray Scott', 'Brandon Auret', 'Langley Kirkwood']",41
2260,2260,56976,Titanic,Titanic,"['Drama', 'Romance', 'Suspense']",['James Cameron'],"['iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman poor man', 'love', 'disaster', 'tragic love', 'class differences', 'imax', 'star crossed lovers', 'steerage', 'rich snob', 'inspired by true events']","['Kate Winslet', 'Leonardo DiCaprio', 'Billy Zane', 'Kathy Bates', 'Frances Fisher']",32
2262,2262,57074,Todas para uno,Todas para uno,['Comedia'],['Harold Trompetero'],[],"['Santiago Alarcón', 'Alejandro Riaño', 'Jessica Cediel', 'María Helena Döering']",11
2266,2266,57207,Thai Dragon,ต้มยำกุ้ง,"['Acción', 'Crimen', 'Drama', 'Suspense']",['Prachya Pinkaew'],"['buddhism', 'elephant', 'sydney', 'australia', 'fighter', 'tempel', 'gang', 'animal']","['Tony Jaa', 'Petchtai Wongkamlao', 'Bongkoj Khongmalai', 'Xing Jing', 'Nathan Jones']",41
2301,2301,60497,Wanted (Se busca),Wanted,"['Acción', 'Suspense', 'Crimen']",['Timur Bekmambetov'],"['loss of loved one', 'assassin', 'secret society', 'mission of murder', 'revenge']","['James McAvoy', 'Angelina Jolie', 'Morgan Freeman', 'Thomas Kretschmann', 'Terence Stamp']",32
2302,2302,60594,Agua para elefantes,Water for Elephants,"['Drama', 'Romance']",['Francis Lawrence'],"['based on novel or book', 'elephant', 'clown', 'great depression', 'elephant trainer', 'veterinary']","['Reese Witherspoon', 'Robert Pattinson', 'Christoph Waltz', 'Hal Holbrook', 'Richard Brake']",20
2304,2304,60603,Waterworld,Waterworld,"['Acción', 'Aventura', 'Ciencia ficción']",['Kevin Reynolds'],"['diving', 'ocean', 'tattoo', 'sailboat', 'mutant', 'water', 'post-apocalyptic', 'pirate', 'oil tanker', 'environmental disaster', 'reluctant hero']","['Kevin Costner', 'Dennis Hopper', 'Jeanne Tripplehorn', 'R. D. Call', 'Gerard Murphy']",41
2343,2343,65020,Kung Fu Panda 3,Kung Fu Panda 3,"['Acción', 'Aventura', 'Animación', 'Comedia', 'Familia']","['Jennifer Yuh Nelson', 'Alessandro Carloni']","['china', 'martial arts', 'kung fu', 'village', 'fighter', 'panda', 'sequel', 'anthropomorphism', 'dragon', 'ancient china', 'wuxia', 'woman director']","['Jack Black', 'Bryan Cranston', 'Dustin Hoffman', 'Angelina Jolie', 'J.K. Simmons']",57
2344,2344,65168,Angry Birds: La película,The Angry Birds Movie,"['Animación', 'Aventura', 'Comedia']","['Clay Kaytis', 'Fergal Reilly']","['island', 'bird', 'pig', 'rivalry', 'anthropomorphism', 'based on video game', 'duringcreditsstinger', 'anger management', 'animal kingdom', '3d']","['Jason Sudeikis', 'Josh Gad', 'Danny McBride', 'Maya Rudolph', 'Bill Hader']",36
2383,2383,68605,Ninja Turtles: Fuera de las sombras,Teenage Mutant Ninja Turtles: Out of the Shadows,"['Fantasía', 'Acción', 'Aventura', 'Comedia', 'Familia']",['Dave Green'],"['sibling relationship', 'turtle', 'sequel', 'based on comic', 'ninja', 'rat']","['Megan Fox', 'Stephen Amell', 'Will Arnett', 'Laura Linney', 'Pete Ploszek']",56
2384,2384,68606,The Intervention,The Intervention,"['Comedia', 'Drama']",['Clea DuVall'],"['trip', 'weekend', 'marriage crisis', 'intervention', 'getaway', 'woman director']","['Natasha Lyonne', 'Cobie Smulders', 'Melanie Lynskey', 'Jason Ritter', 'Clea DuVall']",20
2422,2422,71033,What We Become,Sorgenfri,"['Terror', 'Suspense']",['Bo Mikkelsen'],"['zombie', 'virus']","['Troels Lyby', 'Mille Dinesen', 'Benjamin Engell', 'Marie Hammer Boda', 'Ella Solgaard']",22
2476,2476,74652,Neruda,Neruda,['Drama'],[],"['biography', 'latinx lead', 'neruda']",[],9
2556,2556,78688,The Device,The Device,"['Suspense', 'Terror', 'Ciencia ficción']",['Jeremy Berg'],"['sibling relationship', 'lake', 'alien abduction', 'alien object']","['Angela DiMarco', 'David S. Hogan', 'Kate Alden', 'Gabriel Congdon', 'Ben Andrews']",41
2557,2557,78728,Unacknowledged,Unacknowledged,['Documental'],['Michael Mazzola'],[],"['Giancarlo Esposito', 'Steven M. Greer']",14
