,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
847,847,56480,The World Made Straight,The World Made Straight,['Drama'],['David Burris'],"['appalachia', 'appalachian']","['Haley Joel Osment', 'Minka Kelly', 'Noah Wyle', 'Jeremy Irvine', 'Adelaide Clemens']",9
848,848,56493,El luchador,The Wrestler,"['Drama', 'Romance']",['Darren Aronofsky'],"['new jersey', 'supermarket', 'heart attack', 'ambition', 'daughter', 'wrestling', 'sport', 'stripper', 'steroids', 'fame', 'barbed wire', 'wrestler', 'redemption']","['Mickey Rourke', 'Marisa Tomei', 'Evan Rachel Wood', 'Mark Margolis', 'Todd Barry']",20
849,849,56496,Wallace y Gromit: Los pantalones equivocados,The Wrong Trousers,"['Animación', 'Comedia', 'Familia']",['Nick Park'],"['robbery', 'inventor', 'penguin', 'telecontrol', 'surrealism', 'betrayal', 'stop motion', 'criminal', 'dog', 'jewel heist', 'claymation', 'very little dialogue', 'plasticine', 'clay animation']",['Peter Sallis'],35
850,850,56512,The Yellow Handkerchief,The Yellow Handkerchief,"['Drama', 'Romance']",['Udayan Prasad'],['independent film'],"['William Hurt', 'Maria Bello', 'Kristen Stewart', 'Eddie Redmayne', 'Veronica Russell']",20
851,851,56555,Pozos de ambición,There Will Be Blood,['Drama'],['Paul Thomas Anderson'],"['sibling relationship', 'california', 'pastor', 'deaf-mute', 'american dream', 'fanatic', 'pipeline', 'petrol', 'father', 'step father', 'oil', 'money', 'los angeles', 'twins', 'killer', 'alcoholic', 'bowling alley', 'adopted son']","['Daniel Day-Lewis', 'Paul Dano', 'Dillon Freasier', 'Ciarán Hinds', 'Kevin J. O’Connor']",9
852,852,56612,En qué piensan los hombres,Think Like a Man,"['Comedia', 'Romance']",['Tim Story'],"['advice', 'love', 'relationship', 'ensemble cast', 'duringcreditsstinger', 'turning the tables', 'reading a book', 'african american comedy']","['Michael Ealy', 'Jerry Ferrara', 'Meagan Good', 'Regina Hall', 'Kevin Hart']",22
853,853,56638,Vida de este chico,This Boy’s Life,['Drama'],['Michael Caton-Jones'],"['single parent', 'jealousy', 'seattle', 'car mechanic', 'step father', 'coming of age', 'alcoholic', 'oppression', '1950s']","['Robert De Niro', 'Leonardo DiCaprio', 'Ellen Barkin', 'Chris Cooper', 'Jonah Blechman']",9
855,855,56655,Juerga hasta el fin,This Is the End,"['Acción', 'Comedia']","['Seth Rogen', 'Evan Goldberg']","['rape', 'monster', 'panic', 'friendship', 'celebrity', 'satire', 'party', 'possession', 'dark comedy', 'end of the world', 'apocalypse', 'drugs', 'demon', 'self-referential', 'actor']","['James Franco', 'Jonah Hill', 'Seth Rogen', 'Jay Baruchel', 'Danny McBride']",21
856,856,56815,Tiempo de revancha,Tiempo de revancha,"['Crimen', 'Drama', 'Suspense']",['Adolfo Aristarain'],"['mine', 'worker', 'argentina', 'lawyer', 'union', 'fake accident', 'neo-noir']","['Federico Luppi', 'Haydée Padilla', 'Ulises Dumont', 'Aldo Barbero', 'Rodolfo Ranni']",31
857,857,56857,Tigerland,Tigerland,"['Drama', 'Bélica']",['Joel Schumacher'],"['independent film', 'awol', 'fort polk louisiana', 'target practice', 'guitar player', 'exhaustion', 'simulated battlefield', 'military hardship discharge', 'military discharge', 'stockade', 'fort leavenworth kansas', 'peace sign']","['Colin Farrell', 'Matthew Davis', 'Clifton Collins Jr.', 'Tom Guiry', 'Shea Whigham']",19
