,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
50,50,21069,El héroe de todos,Everyone's Hero,"['Aventura', 'Animación', 'Comedia', 'Familia']","['Christopher Reeve', 'Colin Brady', 'Dan St. Pierre']","['baseball bat', 'sport', 'theft', 'new york yankees']","['William H. Macy', 'Rob Reiner', 'Brian Dennehy', 'Ritchie Allen', 'Jake T. Austin']",47
51,51,21371,Cara a cara (Face/Off),Face/Off,"['Acción', 'Crimen', 'Ciencia ficción', 'Suspense']",['John Woo'],"['undercover', 'mexican standoff', 'fbi', 'biological weapon', 'face transplant', 'rage and hate', 'fistfight', 'hostility', 'revenge', 'deception', 'tragedy', 'shootout', 'hospital', 'boat chase', 'los angeles', 'explosion', 'extreme violence', 'prison escape', 'criminal gang', 'flashback', 'golden gun', 'arch villain', 'bullet ballet']","['John Travolta', 'Nicolas Cage', 'Joan Allen', 'Alessandro Nivola', 'Gina Gershon']",51
52,52,22152,Buscando a Nemo,Finding Nemo,"['Animación', 'Familia']",['Andrew Stanton'],"['parent child relationship', 'harbor', 'anthropomorphism', 'underwater', 'fish tank', 'great barrier reef', 'missing child', 'aftercreditsstinger', 'duringcreditsstinger', 'short term memory loss', 'clownfish', 'father son reunion', 'protective father']","['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe', 'Brad Garrett']",24
53,53,22222,Obsesión Maternal,First Born,"['Drama', 'Terror', 'Suspense']",['Isaac Webb'],['independent film'],"['Elisabeth Shue', 'Steven Mackintosh', 'Kathleen Chalfant', 'Khandi Alexander', 'Carolyn Gilroy']",31
79,79,28608,Jezabel,Jezebel,"['Drama', 'Romance']",['William Wyler'],"['southern usa', 'self-destruction', ""love of one's life"", 'new orleans', 'louisiana', 'yellow fever', 'female protagonist', 'epidemic', 'pride', 'vanity', 'southern belle']","['Bette Davis', 'Henry Fonda', 'George Brent', 'Margaret Lindsay', 'Donald Crisp']",20
80,80,29292,Juno,Juno,"['Comedia', 'Drama', 'Romance']",['Jason Reitman'],"['sexuality', 'becoming an adult', 'puberty', 'first time', 'pregnancy and birth', 'pregnant minor', 'precocity', 'partnership', 'teenager', 'teenage pregnancy']","['Ellen Page', 'Michael Cera', 'Jennifer Garner', 'Jason Bateman', 'Allison Janney']",31
81,81,29804,Mátalos suavemente,Killing Them Softly,"['Crimen', 'Suspense']",['Andrew Dominik'],"['poker', 'gambling', 'robbery', 'based on novel or book', 'hitman', 'gangster', 'economy', 'murder', 'blood', 'hit', 'mobster', 'criminal']","['Brad Pitt', 'Scoot McNairy', 'Ben Mendelsohn', 'James Gandolfini', 'Ray Liotta']",22
82,82,29836,King Kong,King Kong,"['Aventura', 'Drama', 'Acción']",['Peter Jackson'],"['screenplay', 'show business', 'movie business', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']","['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann', 'Colin Hanks']",31
83,83,29978,Lío embarazoso,Knocked Up,"['Comedia', 'Romance', 'Drama']",['Judd Apatow'],"['alcohol', 'one-night stand', 'bed', 'pregnancy and birth', 'condom', 'paternity', 'drug use', 'beard', 'unprotected sex', 'duringcreditsstinger']","['Seth Rogen', 'Katherine Heigl', 'Leslie Mann', 'Paul Rudd', 'Jason Segel']",31
84,84,29986,Señales del futuro,Knowing,"['Acción', 'Aventura', 'Drama', 'Misterio', 'Ciencia ficción', 'Suspense']",['Alex Proyas'],"['cataclysm', 'code', 'suspense', 'end of the world', 'time capsule', 'astrophysicist', 'grieving widower', 'lexington massachusetts', 'westford massachusetts', 'prediction', 'researcher', 'numbers', 'news']","['Nicolas Cage', 'Rose Byrne', 'Chandler Canterbury', 'Ben Mendelsohn', 'Nadia Townsend']",74
85,85,32226,Lawless (Sin ley),Lawless,"['Crimen', 'Drama']",['John Hillcoat'],"['based on novel or book', 'prohibition', 'brother', 'bootlegging', '1930s']","['Shia LaBeouf', 'Tom Hardy', 'Guy Pearce', 'Jessica Chastain', 'Mia Wasikowska']",19
86,86,32236,Layer Cake (Crimen organizado),Layer Cake,"['Drama', 'Suspense', 'Crimen']",['Matthew Vaughn'],"['london england', 'kidnapping', 'ecstasy', 'drug traffic', 'cocaine', 'drug mule', 'hitman', 'mission of murder', 'gangster', 'planned murder', 'drug smuggle', 'murder', 'cafe', 'violence', 'rooftop', 'cult film', 'neo-noir', 'crack head']","['Daniel Craig', 'Tom Hardy', 'Colm Meaney', 'George Harris', 'Sally Hawkins']",31
116,116,42790,"π, fe en el caos",Pi,"['Misterio', 'Drama', 'Suspense']",['Darren Aronofsky'],"['hacker', 'mathematician', 'helix', 'headache', 'chaos theory', 'migraine', 'mathematics', 'insanity', 'genius']","['Sean Gullette', 'Mark Margolis', 'Ben Shenkman', 'Samia Shoaib', 'Pamela Hart']",33
117,117,43031,Piratas del Caribe: En el fin del mundo,Pirates of the Caribbean: At World's End,"['Aventura', 'Fantasía', 'Acción']",['Gore Verbinski'],"['exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'alliance', 'afterlife', 'pirate', 'swashbuckler', 'aftercreditsstinger', 'based on young adult novel']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Chow Yun-Fat']",34
118,118,43032,Piratas del Caribe: El cofre del hombre muerto,Pirates of the Caribbean: Dead Man's Chest,"['Aventura', 'Fantasía', 'Acción']",['Gore Verbinski'],"['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger', 'based on young adult novel']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy']",34
119,119,43033,Piratas del Caribe: En mareas misteriosas,Pirates of the Caribbean: On Stranger Tides,"['Aventura', 'Acción', 'Fantasía']",['Rob Marshall'],"['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d', 'based on young adult novel']","['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Kevin McNally', 'Geoffrey Rush']",34
